1881,13.87
1882,13.83
1883,13.8
1884,13.73
1885,13.75
1886,13.76
1887,13.69
1888,13.8
1889,13.9
1890,13.67
1891,13.73
1892,13.69
1893,13.64
1894,13.68
1895,13.75
1896,13.82
1897,13.81
1898,13.68
1899,13.79
1900,13.85
1901,13.79
1902,13.69
1903,13.64
1904,13.56
1905,13.7
1906,13.74
1907,13.58
1908,13.56
1909,13.54
1910,13.55
1911,13.56
1912,13.59
1913,13.61
1914,13.77
1915,13.84
1916,13.64
1917,13.56
1918,13.68
1919,13.71
1920,13.73
1921,13.79
1922,13.71
1923,13.74
1924,13.76
1925,13.78
1926,13.91
1927,13.82
1928,13.84
1929,13.69
1930,13.88
1931,13.93
1932,13.89
1933,13.75
1934,13.91
1935,13.85
1936,13.9
1937,14.03
1938,14.06
1939,14.01
1940,14.07
1941,14.08
1942,14.05
1943,14.06
1944,14.14
1945,14.01
1946,13.93
1947,13.96
1948,13.9
1949,13.89
1950,13.81
1951,13.93
1952,14.01
1953,14.09
1954,13.89
1955,13.88
1956,13.82
1957,14.04
1958,14.04
1959,14.03
1960,13.96
1961,14.05
1962,14.04
1963,14.07
1964,13.8
1965,13.9
1966,13.96
1967,13.99
1968,13.95
1969,14.06
1970,14.04
1971,13.93
1972,14.02
1973,14.16
1974,13.93
1975,13.99
1976,13.88
1977,14.15
1978,14.05
1979,14.12
1980,14.23
1981,14.28
1982,14.09
1983,14.27
1984,14.12
1985,14.08
1986,14.15
1987,14.29
1988,14.36
1989,14.24
1990,14.39
1991,14.38
1992,14.19
1993,14.21
1994,14.29
1995,14.43
1996,14.33
1997,14.46
1998,14.62
1999,14.41
2000,14.41
2001,14.53
2002,14.62
2003,14.6
2004,14.52
2005,14.66
2006,14.59
2007,14.62
2008,14.49
2009,14.6
2010,14.67
2011,14.55
2012,14.57
